msg_published_time msg_received_time map_load_time.secs update_time.secs uint32_metadata.size_x uint32_metadata.size_y uint8_data_size.bytes
1739039582.512 1739039583.567 0.000 0.000 60 60 3600
1739039583.711 1739039584.235 0.000 0.000 60 60 3600
1739039584.912 1739039585.636 0.000 0.000 60 60 3600
1739039586.711 1739039587.455 0.000 0.000 60 60 3600
1739039587.912 1739039588.725 0.000 0.000 60 60 3600
1739039590.311 1739039591.456 0.000 0.000 60 60 3600
1739039591.512 1739039592.436 0.000 0.000 60 60 3600
1739039592.711 1739039593.279 0.000 0.000 60 60 3600
1739039593.311 1739039594.374 0.000 0.000 60 60 3600
1739039593.911 1739039595.104 0.000 0.000 60 60 3600
1739039594.512 1739039595.238 0.000 0.000 60 60 3600
1739039595.112 1739039595.838 0.000 0.000 60 60 3600
1739039595.711 1739039596.504 0.000 0.000 60 60 3600
1739039596.311 1739039596.936 0.000 0.000 60 60 3600
1739039597.511 1739039598.591 0.000 0.000 60 60 3600
1739039598.112 1739039599.173 0.000 0.000 60 60 3600
1739039598.711 1739039599.426 0.000 0.000 60 60 3600
1739039599.911 1739039600.964 0.000 0.000 60 60 3600
1739039603.511 1739039604.064 0.000 0.000 60 60 3600
1739039605.312 1739039606.293 0.000 0.000 60 60 3600
1739039605.911 1739039606.970 0.000 0.000 60 60 3600
1739039607.111 1739039608.346 0.000 0.000 60 60 3600
1739039608.312 1739039609.293 0.000 0.000 60 60 3600
1739039610.111 1739039610.741 0.000 0.000 60 60 3600
1739039611.911 1739039612.414 0.000 0.000 60 60 3600
1739039613.112 1739039613.658 0.000 0.000 60 60 3600
1739039614.913 1739039615.892 0.000 0.000 60 60 3600
1739039616.111 1739039616.799 0.000 0.000 60 60 3600
1739039618.511 1739039619.419 0.000 0.000 60 60 3600
1739039619.711 1739039620.628 0.000 0.000 60 60 3600
1739039620.912 1739039621.732 0.000 0.000 60 60 3600
1739039622.711 1739039623.508 0.000 0.000 60 60 3600
1739039623.312 1739039624.247 0.000 0.000 60 60 3600
1739039624.511 1739039625.423 0.000 0.000 60 60 3600
1739039626.912 1739039627.736 0.000 0.000 60 60 3600
1739039629.911 1739039630.688 0.000 0.000 60 60 3600
1739039631.111 1739039631.841 0.000 0.000 60 60 3600
1739039635.911 1739039636.664 0.000 0.000 60 60 3600
1739039636.511 1739039637.405 0.000 0.000 60 60 3600
1739039637.711 1739039638.755 0.000 0.000 60 60 3600
1739039638.913 1739039640.010 0.000 0.000 60 60 3600
1739039641.911 1739039642.661 0.000 0.000 60 60 3600
1739039643.711 1739039644.466 0.000 0.000 60 60 3600
1739039644.311 1739039645.387 0.000 0.000 60 60 3600
1739039645.511 1739039646.334 0.000 0.000 60 60 3600
1739039646.111 1739039646.804 0.000 0.000 60 60 3600
1739039646.711 1739039647.608 0.000 0.000 60 60 3600
1739039648.512 1739039649.242 0.000 0.000 60 60 3600
1739039649.112 1739039649.942 0.000 0.000 60 60 3600
1739039652.711 1739039653.666 0.000 0.000 60 60 3600
1739039653.911 1739039654.497 0.000 0.000 60 60 3600
